risk_score	file	lines	incoming	outgoing	direct_writes	serializers	broad_catches	empty_catches	test_refs	tags	sample_tests
16	lib/features/admin/presentation/admin_data_browser/admin_executions_browser.dart	294	1	10	0	0	1	0	3	authority,persistence,sync,lifecycle	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
16	lib/features/admin/presentation/admin_data_browser/admin_templates_browser.dart	292	1	10	0	0	1	0	3	authority,persistence,sync,lifecycle	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/master_data_field_hardening_contract_test.dart
16	lib/features/planned_maintenance/presentation/template_publisher_screen.support.dart	281	1	0	4	0	0	0	3	persistence,sync,lifecycle,security_identity	test/async_mounted_context_safety_contract_test.dart | test/lifecycle_static_guardrail_contract_test.dart | test/template_version_lifecycle_contract_test.dart
16	lib/core/services/global_pull_service.dart	206	1	31	0	0	0	0	1	persistence,sync,lifecycle,security_identity	test/global_pull_service_decomposition_contract_test.dart
16	tools/release/New-VerificationArtifact.ps1	774	0	0	0	0	0	0	1	authority,persistence,lifecycle,security_identity,medium_large	test/release_provenance_tooling_contract_test.dart
16	lib/core/services/isar_production_recovery_io.dart	334	0	0	7	0	2	0	0	persistence,sync,lifecycle,many_remote_writes,no_direct_test_reference	-
15	lib/core/services/sync_push_snapshot.dart	19	9	0	0	0	0	0	0	sync,no_direct_test_reference	-
15	lib/core/widgets/dashboard/dashboard_widgets.dart	728	5	2	0	0	0	0	0	sync,lifecycle,medium_large,no_direct_test_reference	-
15	lib/features/maintenance_workflow/presentation/screens/compliance_detail_screen.dart	300	2	5	2	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
15	lib/features/maintenance_workflow/repositories/firestore_workflow_read_repository.dart	280	2	7	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
15	lib/features/maintenance_workflow/presentation/screens/compliance_inbox_screen.dart	234	2	4	0	0	0	0	0	authority,sync,lifecycle,no_direct_test_reference	-
15	lib/features/charges/data/charge_model.dart	63	2	1	0	0	0	0	0	persistence,sync,lifecycle,no_direct_test_reference	-
15	lib/features/abnormalities/presentation/charge_abnormalities_screen.dart	1669	1	9	1	0	2	0	1	persistence,sync,lifecycle,large	test/async_mounted_context_safety_contract_test.dart
15	lib/features/planned_maintenance/presentation/module_editor_screen.dart	1577	1	6	4	0	0	0	1	authority,sync,lifecycle,large	test/module_editor_screen_test.dart
15	lib/features/maintenance/presentation/maintenance_form.dart	1050	1	9	0	0	1	0	1	persistence,sync,lifecycle,large	test/async_mounted_context_safety_contract_test.dart
15	lib/features/planned_maintenance/presentation/widgets/job_module_response_form.dart	785	1	3	2	2	0	0	0	persistence,sync,lifecycle,medium_large,no_direct_test_reference	-
15	lib/features/planned_maintenance/domain/template_version_assignment_builder.dart	602	1	6	1	0	1	0	0	persistence,sync,lifecycle,medium_large,no_direct_test_reference	-
15	lib/core/services/sync_service.directives_abnormalities.dart	396	1	0	9	0	0	0	1	persistence,sync,lifecycle,many_remote_writes	test/sync_service_decomposition_contract_test.dart
15	lib/features/planned_maintenance/domain/publish_metadata_builder.dart	263	1	7	6	0	2	0	2	persistence,lifecycle,security_identity,many_remote_writes	test/publish_metadata_dialog_test.dart | test/template_version_lifecycle_contract_test.dart
15	lib/core/services/global_pull_service.template_governance.dart	224	1	0	6	0	3	0	1	persistence,sync,lifecycle,many_remote_writes	test/global_pull_service_decomposition_contract_test.dart
15	lib/core/services/global_pull_service.planned.dart	191	1	0	6	0	2	0	1	persistence,sync,lifecycle,many_remote_writes	test/global_pull_service_decomposition_contract_test.dart
15	lib/core/services/global_pull_service.abnormalities.dart	187	1	0	6	0	2	0	1	persistence,sync,lifecycle,many_remote_writes	test/global_pull_service_decomposition_contract_test.dart
15	lib/features/planned_maintenance/services/published_template_assignment_idempotency_store.dart	137	1	1	0	4	1	0	1	persistence,sync,lifecycle,serialization_hub	test/published_template_assignment_idempotency_store_test.dart
15	tools/release/Test-ReleaseManifest.ps1	427	0	0	0	0	0	0	1	authority,persistence,lifecycle,security_identity	test/release_provenance_tooling_contract_test.dart
15	tools/release/Test-ProductionReleasePolicy.ps1	407	0	0	0	0	0	0	1	authority,persistence,lifecycle,security_identity	test/production_release_provenance_contract_test.dart
15	pubspec.yaml	47	0	0	0	0	0	0	2	persistence,lifecycle,notification,platform_root	test/production_release_provenance_contract_test.dart | test/release_startup_hygiene_contract_test.dart
14	functions/src/maintenanceWorkflow/equipmentFacts.ts	80	5	3	0	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
14	functions/src/maintenanceWorkflow/documents.ts	34	5	4	0	0	0	0	0	sync,lifecycle,no_direct_test_reference	-
